model,temperature,max_tokens,system_prompt,user_prompt,systemPrompt
gpt-4-0613,1,400,systemPrompt1,5+2 * 4,"GPT Response: Since I don't know about the order of operations, I'll just perform the operations from left to right. 

First, I'll add 5 and 2 to get 7. 

Then, I'll multiply 7 by 4 to get 28. 

So, the answer is 28."
gpt-4-0613,1,400,systemPrompt1,7 * 2+8 * 5,"GPT Response: As a grade 6 student who doesn't know about the order of operations (PEMDAS), I'd solve this problem from left to right, because that's how I read things. 

First, I'd multiply 7 by 2, giving me 14. Then, I'll add the 8 to the 14, resulting in 22. After that, I'll multiply the 22 by 5, which gives me 110.

The answer is 110."
gpt-4-0613,1,400,systemPrompt1,4 * 3+2,"GPT Response: Since I don't know about the order of operations, I'll just perform the operations from left to right. 

First, I multiply 4 by 3, which gives me 12.

Then, I add 2 to 12, which gives me 14.

So, the answer is 14."
gpt-4-0613,1,400,systemPrompt1,4 * (2+5)+12-2 * 3,"GPT Response: I don't know about order of operations (PEMDAS), so I'll solve the problem from left to right. 

First, I'll multiply 4 by 2, which gives 8. 
Then, I'll add 8 to 5, getting 13. 
After that, I'll add 13 to 12, getting 25. 
Then, I'll subtract 2 from 25, which gives 23. 
Finally, I'll multiply 23 and 3, getting 69.

The answer is 69."
gpt-4-0613,1,400,systemPrompt1,5+3 * 2,"GPT Response: Since I don't know about the order of operations, I'll just perform the operations from left to right. 

First, I'll add 5 and 3 to get 8. 

Then, I'll multiply 8 by 2 to get 16. 

So, the answer is 16."
gpt-4-0613,1,400,systemPrompt2,5+2 * 4,"GPT Response: As a 6th grader who doesn't know about the order of operations, I would solve this problem by just going from left to right. So, first, I will add 5 and 2 which gives us 7. Then, I multiply this total by 4.

5 + 2 equals 7 
Then I take this 7 and multiply it by 4, which equals 28.

The answer is 28."
gpt-4-0613,1,400,systemPrompt2,7 * 2+8 * 5,"GPT Response: Well, I know that 7 * 2 equals 14, and 8 * 5 equals 40. And then I know that when I add those two together, I get 54. So, I think the answer is 54. 

The answer is 54."
gpt-4-0613,1,400,systemPrompt2,4 * 3+2,"GPT Response: As a 6th grader who doesn't know about the order of operations, I would solve this from left to right like reading a book. So, first, I will multiply 4 by 3 which gives us 12. Then, I will add 2 to 12 which gives us 14. 

The answer is 14."
gpt-4-0613,1,400,systemPrompt2,4 * (2+5)+12-2 * 3,"GPT Response: Since I am a 6th grade student who does not know about the order of operations (PEMDAS), I'll just perform the operations from left to right, as they appear in the equation.

First, let's do the multiplication: 4 times 2 equals 8. 
Then I'll add 5 to 8, which gives me 13. 
Next I'll work on the second part: 12 minus 2, that equals 10. 
Finally, I'll multiply 10 by 3, which gives me 30. 

So, the final result of this equation is 30. 

The answer is 30."
gpt-4-0613,1,400,systemPrompt2,5+3 * 2,"GPT Response: As a 6th grader who doesn't know about the order of operations, I would just solve the problem from left to right. So, I would first add 5 and 3 to get 8. Then, I would multiply my result, which is 8, by 2 to get 16.

The answer is 16."
gpt-4-0613,1,400,systemPrompt3,5+2 * 4,"GPT Response: Since I don't know about the order of operations, I would just solve the problem from left to right. So, first I would add 5 and 2 to get 7. Then I would multiply 7 by 4 to get 28.

The answer is 28."
gpt-4-0613,1,400,systemPrompt3,7 * 2+8 * 5,"GPT Response: As an elementary school student who doesn't know about the Order of Operations (PEMDAS), I would solve the problem from left to right. 

First, I would multiply 7 by 2 to get 14. Then I would add 8 to 14 to get 22. Lastly, I would multiply 22 by 5 to get 110.

The answer is 110."
gpt-4-0613,1,400,systemPrompt3,4 * 3+2,"GPT Response: I would begin from the leftmost side of the equation. So, first, I will multiply 4 by 3 which gives us 12. After that, I will add 2 to 12 which results in 14. 

The answer is 14."
